	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)
VARIABLES	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare
																																										
govjobs	.						.						.						.						.						.						.					
yr2006	0.876**	0.641***	1.380***	0.960	1.085	1.582***	0.893**	0.639***	1.393***	0.973	1.191***	1.689***	0.872**	0.642***	1.351***	0.885	1.103	1.570***	0.759***	0.633***	1.207***	1.069	1.037	1.216**	0.768***	0.632***	1.211***	1.082	1.085*	1.219**	0.956	0.665***	1.337***	1.070	1.334***	1.842***	0.898**	0.642***	1.398***	0.925	1.089	1.630***
	(-3.259)	(-10.139)	(7.759)	(-0.475)	(1.639)	(5.441)	(-2.717)	(-9.624)	(7.774)	(-0.280)	(3.298)	(5.478)	(-3.286)	(-9.536)	(7.057)	(-1.231)	(1.838)	(5.158)	(-8.901)	(-13.917)	(6.007)	(1.136)	(1.070)	(3.227)	(-8.288)	(-13.247)	(5.994)	(1.215)	(2.297)	(2.934)	(-1.011)	(-8.192)	(6.433)	(0.675)	(5.216)	(6.260)	(-2.648)	(-10.100)	(8.018)	(-0.885)	(1.696)	(5.776)
cntryfe1	1.961***	1.497**	1.981***	1.055	1.378	15.040***	2.085***	1.483**	2.050***	1.102	1.968***	18.246***	2.103***	1.469*	2.686***	1.344	1.239	16.135***	1.202**	1.475***	1.183**	2.152***	1.306***	4.217***	1.258***	1.467***	1.200**	2.199***	1.494***	4.235***	1.080	1.443***	1.130*	2.151***	1.177*	3.452***	2.727***	1.578**	2.384***	0.973	1.651**	21.149***
	(5.591)	(2.840)	(5.434)	(0.154)	(1.764)	(8.294)	(5.907)	(2.640)	(5.490)	(0.257)	(3.486)	(8.193)	(4.001)	(2.017)	(5.279)	(0.783)	(0.974)	(6.916)	(3.260)	(6.979)	(3.013)	(7.886)	(4.265)	(13.082)	(3.715)	(6.144)	(2.966)	(7.238)	(5.864)	(12.038)	(1.318)	(6.331)	(2.112)	(7.457)	(2.498)	(10.663)	(7.114)	(3.011)	(6.059)	(-0.074)	(2.667)	(8.770)
cntryfe2	1.193	1.725***	2.012***	0.959	1.373*	7.668***	1.279*	1.708***	2.088***	0.997	1.917***	9.132***	1.260	1.699***	2.551***	1.196	1.257	8.104***	0.845*	1.696***	1.407***	1.478**	1.266**	3.157***	0.892	1.685***	1.431***	1.522**	1.508***	3.176***	0.666***	1.619***	1.270**	1.477**	1.003	1.930***	1.451**	1.775***	2.240***	0.856	1.484**	9.030***
	(1.682)	(4.685)	(6.571)	(-0.162)	(2.209)	(8.042)	(2.223)	(4.276)	(6.504)	(-0.010)	(4.142)	(7.869)	(1.518)	(3.433)	(6.174)	(0.616)	(1.302)	(6.685)	(-2.258)	(7.281)	(4.722)	(3.229)	(2.894)	(7.944)	(-1.409)	(6.521)	(4.553)	(3.033)	(4.598)	(7.256)	(-4.970)	(5.982)	(3.016)	(2.707)	(0.033)	(3.832)	(3.272)	(4.791)	(7.099)	(-0.566)	(2.718)	(8.573)
cntryfe3	2.710***	2.976***	2.727***	1.884***	2.580***	1.117	4.476***	2.806***	3.505***	2.167	11.248***	2.221	2.834***	2.932***	3.338***	2.862***	2.312***	1.187	3.025***	3.037***	2.983***	1.968***	2.942***	1.465***	4.813***	2.873***	3.442***	2.431	11.429***	1.528	1.438**	2.585***	2.151***	1.964*	1.246	0.339***	2.800***	3.009***	2.794***	2.280***	2.845***	1.234
	(14.123)	(14.725)	(13.565)	(4.995)	(10.523)	(0.964)	(5.714)	(3.503)	(4.631)	(1.541)	(8.198)	(1.643)	(9.092)	(8.572)	(10.214)	(3.806)	(5.373)	(0.733)	(15.836)	(15.334)	(14.887)	(5.528)	(12.157)	(3.357)	(5.930)	(3.569)	(4.534)	(1.791)	(8.302)	(0.884)	(2.904)	(6.739)	(6.028)	(2.145)	(1.275)	(-3.660)	(14.506)	(14.714)	(13.791)	(5.832)	(11.335)	(1.769)
cntryfe4	3.888***	3.664***	2.128***	2.660***	1.544***	4.525***	5.936***	3.487***	2.631***	3.007*	5.472***	8.214***	3.998***	3.632***	2.404***	3.338***	1.451***	4.688***	3.906***	3.660***	2.143***	2.581***	1.516***	4.549***	5.755***	3.494***	2.415***	3.089**	4.752***	4.717***	2.433***	3.315***	1.726***	2.577***	0.904	1.789**	3.853***	3.655***	2.100***	2.607***	1.510***	4.421***
	(20.409)	(19.089)	(11.445)	(8.094)	(5.964)	(11.369)	(7.979)	(4.965)	(4.205)	(2.493)	(6.733)	(4.893)	(15.912)	(14.199)	(10.178)	(6.741)	(3.620)	(8.697)	(20.475)	(19.071)	(11.535)	(7.871)	(5.712)	(11.409)	(7.830)	(5.009)	(3.842)	(2.641)	(6.320)	(3.660)	(9.550)	(11.908)	(5.742)	(4.516)	(-0.885)	(2.770)	(20.235)	(19.035)	(11.232)	(7.950)	(5.652)	(11.217)
cntryfe5	2.782***	7.079***	3.310***	21.254***	7.411***	18.120***	2.798***	7.074***	3.313***	21.118***	7.344***	18.367***	2.885***	6.997***	3.893***	31.004***	6.785***	18.968***	2.891***	6.994***	3.531***	18.868***	7.302***	20.054***	2.901***	6.989***	3.533***	18.807***	7.235***	20.053***	1.292	5.929***	2.481***	18.827***	3.031***	3.979**	2.545***	6.933***	3.147***	23.553***	6.985***	15.680***
	(14.139)	(21.861)	(15.042)	(9.613)	(15.533)	(9.731)	(14.199)	(21.837)	(15.063)	(9.582)	(15.584)	(9.772)	(10.277)	(16.169)	(12.519)	(8.730)	(11.649)	(8.793)	(14.723)	(21.595)	(15.983)	(9.426)	(15.586)	(10.067)	(14.757)	(21.572)	(15.987)	(9.417)	(15.535)	(10.067)	(1.924)	(11.608)	(6.634)	(6.740)	(5.624)	(3.258)	(12.453)	(21.052)	(14.012)	(9.455)	(14.776)	(9.113)
