"","Group.1","x","Exp1","u_teamid","u_teamid2","u_expgroup1","backgr_degree1","backgr_degree2","backgr_degree3","numinteam","software","degree","difficult","stat_skill","dv_tag","deviance","or","sig","orig_or","orig_sig","orig_direction","rep_direction","verif","exact","deviance_abs","count","max","max1","insamp","stat_degree","stata","degree_soc"
"29",35,35,1,35,35,NA,3,6,3,2,NA,1,-0.55,-1.83594155749365,24.5,0,1.01335416666667,0.4375,1.01335416666667,0.458333333333333,1.52083333333333,1.52083333333333,1,1,0,0.533270833333333,1.92,1.92,1,0,0,1
"30",36,36,2,36,36,NA,3,6,6,1,NA,1,-0.55,2.3446595879553,20.5,-0.00675,1.001675,0.5,1.008425,0.625,1.5,1.6,1,0.375,0.026,1.205625,1.92,1.92,1,0,1,1
"31",37,37,1,37,37,NA,3,3,3,3,NA,1,-0.55,2.45552084398657,24.5,0.00247916666666667,1.01583333333333,0.5,1.01335416666667,0.458333333333333,1.52083333333333,1.4375,1,0.875,0.0045625,1.36516666666667,1.92,1.92,1,0,1,1
"32",38,38,2,38,38,NA,3,6,3,2,NA,1,-0.55,-1.83594155749365,20.5,0.002575,1.011,0.275,1.008425,0.625,1.5,1.525,1,0.475,0.015075,1.04965,1.92,1.92,1,0,1,1
"33",39,39,2,39,39,NA,3,3,3,3,NA,1,-0.55,-2.26525664496608,20.5,0.00372499999999998,1.01215,0.55,1.008425,0.625,1.5,1.475,1,0.525,0.011375,0.99545,1.92,1.92,1,0,1,1
"34",40,40,1,40,40,NA,4,6,4,2,NA,2,0.45,-1.88705784311278,24.5,0.00854166666666668,1.02189583333333,0.583333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.5,0.979166666666667,0.3125,0.0182083333333333,1.58302083333333,1.92,1.92,1,0,0,0
"35",41,41,2,41,41,NA,4,4,3,3,NA,2,1.45,0.267135525562659,20.5,-0.0077,1.000725,0.425,1.008425,0.625,1.5,1.65,0.925,0.4,0.02305,1.1705,1.92,1.92,1,0,0,0
"36",42,42,1,42,42,NA,3,3,3,3,NA,1,0.45,-1.70329172010434,24.5,0,1.01335416666667,0.458333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.52083333333333,1,1,0,0.534354166666667,1.92,1.92,1,0,1,1
"37",43,43,1,43,43,NA,3,6,6,2,NA,1,0.45,-1.86374016070803,24.5,0.00152083333333335,1.014875,0.479166666666667,1.01335416666667,0.458333333333333,1.52083333333333,1.5,1,0.395833333333333,0.0132291666666667,1.48485416666667,1.92,1.92,1,0,1,1
"38",45,45,1,45,45,NA,3,6,3,2,NA,1,-0.55,-1.08548905395702,24.5,0,1.01335416666667,0.458333333333333,1.01335416666667,0.458333333333333,1.52083333333333,1.52083333333333,1,1,0,0.5354375,1.92,1.92,1,0,1,1
